word,pos,meaning
Abase,verb,"To lower in position, estimation, or the like; degrade."
Absence,noun,The fact of not being present or available.
Accredit,verb,To give credit or authority to.
Actuate,verb,To move or incite to action.
Advocate,noun,"One who pleads the cause of another, as in a legal or ecclesiastical court."
Alacrity,noun,Cheerful willingness.
Alternate,noun,"One chosen to act in place of another, in case of the absence or incapacity of that other."
Analogy,noun,Reasoning in which from certain and known relations or resemblance others are formed.
Antecede,verb,To precede.
Apex,noun,"The highest point, as of a mountain."
Arcade,noun,"A vaulted passageway or street; a roofed passageway having shops, etc., opening from it."
Asexual,adjective,Having no distinct sexual organs.
Auburn,adjective,"Reddish-brown, said usually of the hair."
Avocation,noun,Diversion.
Beck,verb,"To give a signal to, by nod or gesture."
Bestial,adjective,Animal.
Blithesome,adjective,Cheerful.
Brethren,noun,"Pl. Members of a brotherhood, gild, profession, association, or the like."
Bureau,noun,"A chest of drawers for clothing, etc."
Candor,noun,The quality of frankness or outspokenness.
Cat-o-nine-tails,noun,"An instrument consisting of nine pieces of cord, formerly used for flogging in the army and navy."
Choral,adjective,"Pertaining to, intended for, or performed by a chorus or choir."
Codicil,noun,"A supplement adding to, revoking, or explaining in the body of a will."
Commitment,noun,The act or process of entrusting or consigning for safe-keeping.
Compunction,noun,Remorseful feeling.
Conflagration,noun,"A great fire, as of many buildings, a forest, or the like."
Consignee,noun,A person to whom goods or other property has been entrusted.
Continuance,noun,Permanence.
Convoy,noun,A protecting force accompanying property in course of transportation.
Counteract,verb,To act in opposition to.
Crustacean,adjective,"Pertaining to a division of arthropods, containing lobsters, crabs, crawfish, etc."
Debonair,adjective,Having gentle or courteous bearing or manner.
Default,noun,The neglect or omission of a legal requirement.
Delusion,noun,"Mistaken conviction, especially when more or less enduring."
Depository,noun,A place where anything is kept in safety.
Desultory,adjective,Not connected with what precedes.
Diffusion,noun,Dispersion.
Discolor,verb,To stain.
Dispensation,noun,That which is bestowed on or appointed to one from a higher power.
Distensible,adjective,Capable of being stretched out or expanded in every direction.
Dolorous,adjective,Expressing or causing sorrow or pain.
Duteous,adjective,Showing submission to natural superiors.
Effrontery,noun,Unblushing impudence.
Embody,verb,"To express, formulate, or exemplify in a concrete, compact or visible form."
Endurable,adjective,Tolerable.
Enumerate,verb,To name one by one.
Essence,noun,That which makes a thing to be what it is.
Excerpt,noun,An extract or selection from written or printed matter.
Exorcise,verb,To cast or drive out by religious or magical means.
External,noun,Anything relating or belonging to the outside.
Fancier,noun,One having a taste for or interest in special objects.
Fief,noun,A landed estate held under feudal tenure.
Foible,noun,A personal weakness or failing.
Forethought,noun,Premeditation.
Frivolous,adjective,Trivial.
Galvanism,noun,"Current electricity, especially that arising from chemical action."
Gibe,verb,To utter taunts or reproaches.
Gratuitous,adjective,Voluntarily.
Handwriting,noun,Penmanship.
Hesitation,noun,Vacillation.
Humanize,verb,To make gentle or refined.
Idolize,verb,To regard with inordinate love or admiration.
Imminent,adjective,Dangerous and close at hand.
Implausible,adjective,Not plausible.
Inapprehensible,adjective,Not to be understood.
Incomplete,adjective,"Lacking some element, part, or adjunct necessary or required."
Induct,verb,To bring in.
Inflammation,noun,"A morbid process in some part of the body characterized by heat, swelling, and pain."
Innumerable,adjective,Countless.
Insular,adjective,Pertaining to an island.
Interrogative,adjective,Having the nature or form of a question.
Invalid,adjective,"Having no force, weight, or cogency."
Irrational,adjective,Not possessed of reasoning powers or understanding.
Joggle,noun,A sudden irregular shake or a push causing such a shake.
Knavery,noun,Deceitfulness in dealing.
Lave,verb,To wash or bathe.
Liberalism,noun,Opposition to conservatism.
Lithesome,adjective,Nimble.
Luminescent,adjective,Showing increase of light.
Maintenance,noun,That which supports or sustains.
Maroon,verb,To put ashore and abandon (a person) on a desolate coast or island.
Meditation,noun,The turning or revolving of a subject in the mind.
Mettle,noun,Courage.
Misbehavior,noun,Ill or improper behavior.
Modification,noun,A change.
Mordacious,adjective,Biting or giving to biting.
Narrator,noun,One who narrates anything.
Neocracy,noun,Government administered by new or untried persons.
Nondescript,adjective,Indescribable.
Obligatory,adjective,Binding in law or conscience.
Oddity,noun,An eccentricity.
Opportunist,noun,One who takes advantage of circumstances to gain his ends.
Ostracism,noun,"Exclusion from intercourse or favor, as in society or politics."
Overreach,verb,To stretch out too far.
Panorama,noun,A series of large pictures representing a continuous scene.
Participate,verb,To receive or have a part or share of.
Pediatrics,noun,The department of medical science that relates to the treatment of diseases of childhood.
Percipient,noun,One who or that which perceives.
Personality,noun,"The attributes, taken collectively, that make up the character and nature of an individual."
Philanthropic,adjective,Benevolent.
Pious,adjective,Religious.
Poetic,adjective,Pertaining to poetry.
Possessor,noun,"One who owns, enjoys, or controls anything, as property."
Prediction,noun,A prophecy.
Preponderate,verb,To exceed in influence or power.
Privateer,noun,"A vessel owned and officered by private persons, but carrying on maritime war."
Prolix,adjective,Verbose.
Protestant,noun,A christian who denies the authority of the pope and holds the right of special judgment.
Punctilious,adjective,Strictly observant of the rules or forms prescribed by law or custom.
Quiescence,noun,Quiet.
Ready,adjective,In a state of preparedness for any given purpose or occasion.
Recreant,noun,A cowardly or faithless person.
Refringent,adjective,Having the power to refract.
Reminiscence,noun,The calling to mind of incidents within the range of personal knowledge or experience.
Reprimand,verb,To chide or rebuke for a fault.
Resumption,noun,"The act of taking back, or taking again."
Riddance,noun,The act or ridding or delivering from something undesirable.
Saline,adjective,Constituting or consisting of salt.
Scribe,noun,One who writes or is skilled in writing.
Semblance,noun,Outward appearance.
Severance,noun,Separation.
Skepticism,noun,The entertainment of doubt concerning something.
Sorcery,noun,Witchcraft.
Statecraft,noun,The art of conducting state affairs.
Subacid,adjective,Somewhat sharp or biting.
Succumb,verb,To cease to resist.
Surcharge,noun,An additional amount charged.
Systematic,adjective,Methodical.
Tenant,noun,An occupant.
Thoroughfare,noun,A public street or road.
Transcontinental,adjective,Extending or passing across a continent.
Treble,adjective,Multiplied by three.
Twinge,noun,A darting momentary local pain.
Undersized,adjective,Of less than the customary size.
Up-keep,noun,Maintenance.
Variable,adjective,Having a tendency to change.
Verity,noun,Truth.
Visage,noun,"The face, countenance, or look of a person."
Warlike,adjective,Belligerent.
Wretchedness,noun,Extreme misery or unhappiness.
